Clinic Name,Website,Phone,Email,Contact Page,Facebook,Instagram,YouTube,Twitter,LinkedIn
Tend Dental Flatiron,https://www.hellotend.com/studios/new-york-city/flatiron?utm_source=gmb&utm_medium=organic&utm_campaign=flatiron&utm_content=web,+12124063686,hello@hellotend.com,,https://facebook.com/hellotend,https://instagram.com/hello_tend,,,
Expert Dental - Midtown,https://www.expertdentalnyc.com,+12127633383,,,https://facebook.com/expertdental,https://instagram.com/expertdentalnyc,,,
New York Dental Studio,https://www.nydentalstudio.com,+12125881809,info@newyorkdentalstudio.com,https://nydentalstudio.com/contact-us,https://facebook.com/newyorkdentalstudio,https://instagram.com/newyorkdentalstudio,https://youtube.com/@NYDentalStudio,,https://linkedin.com/company/new-york-dental-studio
Manhattan Dental Studio,http://www.manhattandentalstudio.com,+12126852476,,,,,,,
New York General Dentistry,https://newyorkgeneraldentistry.com/?utm_source=GMBlisting&utm_medium=organic,+12128380842,,,,,,,
212 Dental Care,http://212dentalcare.com,+18885069583,patientcare@212dentalcare.com,,,,,,
Brite Dental Spa,https://www.britedentalnyc.com/?utm_source=gmb_auth,+16466281211,info@britedentalnyc.com,https://britedentalnyc.com/contact,https://facebook.com/britedental,https://instagram.com/thedentistinheels,,,
ToothDocs,https://madison.toothdocsdental.com,+12129699490,adarsh.a@growthplug.com,https://www.toothdocsdental.com/contact,https://facebook.com/toothdocsnyc,https://instagram.com/toothdocs.dental,,,
Tend Dental Flatiron,,,,,,,,,
Village Dental NYC,https://villagedentalnyc.com,+13322304916,info@villagedentalnyc.com,,,,,,
New York General Dentistry,,,,,,,,,
"Manhattan Dental Spa: John Vargas DDS, Allison Gordon DMD, & Mitchell Charnas DMD",http://www.manhattandentalspa.com/?utm_source=gmb&utm_medium=organic,+12126832530,,https://manhattandentalspa.com/contact-us,https://facebook.com/manhattandentalspa,https://instagram.com/manhattandentalspa,,,
Advanced Dental Arts NYC,https://advanceddentalartsnyc.com,+12123881170,info@advanceddentalartsnyc.com,https://advanceddentalartsnyc.com/about/contact,https://facebook.com/advanceddentalartsnyc,https://instagram.com/advanceddentalarts,https://youtube.com/channel/UCK3VW-XL-R6i-K1poNkj6uA,https://twitter.com/toddbertmandmd,
Manhattan Dental Studio,,,,,,,,,
Perfect Dental Care,http://www.perfectdentalny.com,+12122397027,perfectdentalcareny@gmail.com,http://www.perfectdentalny.com/contact,https://facebook.com/perfectentalcare,https://instagram.com/perfectdentalnyc,,,
The Exchange Dental Group,https://www.theexchangedentalgroup.com,+16467805410,,https://www.theexchangedentalgroup.com/contact,https://facebook.com/theexchangedentalgroup,https://instagram.com/theexchangedentalgroup,,,
NYC Dental Associates,http://www.nycdent.com,+12122261899,info@nycdent.com,http://www.nycdent.com/contact,,https://instagram.com/nycdentalofficial,,,
Sky Dental,https://skydentalnyc.com/?utm_campaign=gmb,+12126001996,contactus@skydentalnyc.com,,https://facebook.com/skydentalnyc,https://instagram.com/skydentalnyc,https://youtube.com/channel/UCx2jfd9G54FT21QBYcTnu5Q,,
Gallery57Dental,,,,,,,,,
SLim Dental,https://www.slimdental.com/contact-us/dentist-murray-hill,+16467274188,info@slimdental.com,https://slimdental.com/contact,https://facebook.com/slimdental,https://instagram.com/slimdental,https://youtube.com/@slimdental_slimdentalkids,,
East Village Dental Center,,,,,,,,,
Centre Dental-中央牙科-曼哈顿 华人 牙科 牙医 根管治疗 牙医诊所 洗牙 牙齿矫正 植牙 拔牙 种植牙 种牙 医师 医生 诊所 矫正牙齿 推荐,,,,,,,,,
Wall Street Dental Spa - Financial District,https://wallstdentalspanyc.com,+12125145514,info@wallstdentalspanyc.com,https://wallstdentalspanyc.com/contactus,https://facebook.com/wallstdentalspa,https://instagram.com/reel/dnye7sh0iqk,,https://twitter.com/wallstdentist,
CityLife Dental Care,,+12127528431,,,,,,,
Lumia Dental PLLC,https://www.lumiadental.com,+12122871275,info@lumiadental.com,https://www.lumiadental.com/contact,https://facebook.com/lumiadental,https://instagram.com/lumiadental,https://youtube.com/shorts/ZZFXCAlqWGY,https://twitter.com/lumiadental,https://linkedin.com/company/lumiadental
DentAlign NYC,https://www.nyc-dentalign.com,+17163500665,dentalignnyc@gmail.com,https://www.nyc-dentalign.com/contactus,https://facebook.com/dentalign-nyc-102056722350212,,,,
Dentist MidTown New York,,+12125351202,,,,,,,
Flatiron Family Dental,http://www.flatironfamilydental.com,+12125107303,,https://flatironfamilydental.com/contact-us,https://facebook.com/flatironfamilydental,https://instagram.com/flatironfamilydental,,,
Tend Dental Flatiron,,,,,,,,,
Tend Dental Flatiron,,,,,,,,,
ToothDocs,,,,,,,,,
My NYC Dentist - 42nd Street Dental,http://www.mynyc-dentist.com,+12128678862,gad1069@gmail.com,,https://facebook.com/42ndstdental,,,,
212 Dental Care,,,,,,,,,
SoHo Dental Group,https://www.sohodentalgroup.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,+12128787646,,https://www.sohodentalgroup.com/contact-us,https://facebook.com/sohodentalgroup,https://instagram.com/sohodentalgroup,,,
Sunny Dental Care,http://www.sunnydental.us,+12128425300,,,https://facebook.com/sunnydentalnyc,https://instagram.com/sunny_dentalcare,,,
Glow Dental of Midtown Manhattan: Dr. Alina Huang,https://dentistinmidtownmanhattan.com,+12126978620,hello@glowdentalnyc.com,https://dentistinmidtownmanhattan.com/contact,https://facebook.com/pg/dralinahuang,https://instagram.com/glowdentalnyc,,,
Brite Dental Spa,,,,,,,,,
